page_id,tech_title
653,assistive technology
656,acid
849,aircraft
887,messagepad
1187,alloy
1313,aromatic compound
1778,acetylene
1963,absolute magnitude
1980,amiga
2218,additive synthesis
2219,aircraft carrier
2246,analgesic
2316,audio file format
2322,audio signal processing
2349,abstract data type
2362,antibody
2396,adhesive
2581,apache http server
2703,aberration (astronomy)
2736,andalusia
2780,atari 5200
3118,arithmetic
3162,arbitrage
3211,atom probe
3262,agar
3370,boron nitride
3402,bead
3430,bulletin board system
3794,brassicaceae
3821,binary-coded decimal
3933,braille
3997,blood
4099,bone
4211,bootstrapping
4321,binary tree
4373,buffer overflow
4474,boseâeinstein condensate
4547,bash (unix shell)
4609,beta-lactamase
4664,bã©zier curve
4788,body mass index
4906,beta sheet
5009,zebrafish
5177,communication
5244,cipher
5272,printer (computing)
5299,carbon
5309,software
5320,carbon nanotube
5371,concrete
5668,calcium
5672,cadmium
5918,continuum mechanics
5926,computation
5980,carbon sink
5999,climate
6014,cathode-ray tube
6019,computational chemistry
6021,c (programming language)
6111,chemical vapor deposition
6136,carbon monoxide
6246,covalent bond
6271,chemical reaction
6329,chromatography
6449,clock
6596,computer vision
6604,rendering (computer graphics)
6799,cobol
6813,chandrasekhar limit
7043,chemical formula
7077,computer file
7143,code-division multiple access
7144,internet filter
7164,color temperature
7398,computer security
7425,electromagnetic coil
7475,candu reactor
7519,convolution
7593,calculator
7677,computer monitor
7843,planned economy
8013,data compression
8254,diode
8271,digital television
8377,database
8410,decibel
8456,denaturation (biochemistry)
8525,digital signal processing
8540,diesel engine
8560,design
8603,diffraction
8622,dynamic host configuration protocol
8625,differential geometry
8637,door
8674,digital enhanced cordless telecommunications
8683,disc jockey
8724,doppler effect
8733,digital video
8743,document object model
9101,device driver
9225,electronic paper
9236,evolution
9256,enigma machine
9284,equation
9310,enterprise resource planning
9478,erbium
9532,electromagnetism
9601,electrochemistry
9640,engine
9646,erlang (programming language)
9663,electronics
9697,euclidean space
9730,electron microscope
9738,email
9931,amplifier
10048,ethanol
10134,electromagnetic spectrum
10136,expert system
10290,emulsion
10294,encryption
10303,evaporation
10375,error detection and correction
10392,emacs lisp
10835,frequency modulation
10933,functional programming
10939,formal language
10969,field-programmable gate array
11028,film stock
11062,friction
11304,fusion cuisine
11367,fourth-generation programming language
11512,fast fourier transform
11522,fly-by-wire
11545,feedback
11555,fluorescence
11729,fuel cell
11763,frost
11846,guitar
11866,global positioning system
12240,gold
12241,gallium
12243,gadolinium
12266,genetics
12366,graphite
12383,genetic engineering
12385,genetic code
12417,guanosine
12581,glass
12582,gel electrophoresis
12799,graphic design
12891,gene therapy
12908,global warming potential
12920,general packet radio service
12935,gram stain
12937,gram-negative bacteria
12984,geiger counter
13035,gaussian elimination
13137,grindcore
13160,gelatin
13255,hydrogen
13266,histogram
13311,hormone
13586,https
13636,history of computing hardware
13711,hydroxide
13883,huffman coding
13996,heap (data structure)
14121,hertz
14283,heavy water
14307,hall effect
14730,internet relay chat
14896,inductor
14904,intensive insulin therapy
15022,infrared
15029,industry standard architecture
15043,international space station
15066,insulator (electricity)
15067,internetworking
15077,indoor rower
15107,internet control message protocol
15112,wave interference
15167,icq
15176,insurance
15251,international monetary fund
15286,ism radio band
15318,ipv6
15358,insanity defense
15403,iso 4217
15422,list of internet top-level domains
15658,jeep
15944,jet engine
16830,keyboard technology
16848,kurtosis
16920,knowledge representation and reasoning
16992,kerosene
17011,orca
17038,kyanite
17556,laser
17744,lanthanum
17904,linear model
17932,liquid-crystal display
18069,lubricant
18208,lossy compression
18308,lanthanide
18328,library classification
18329,lexus
18508,lightweight directory access protocol
18629,liqueur
18819,microeconomics
18837,median
18847,multics
19042,metal
19051,manganese
19192,mean
19312,meme
19374,model organism
19384,multivariate statistics
19545,mysql
19641,mass media
19951,pressure measurement
19965,morphogenesis
20170,mips architecture
20213,multiple-image network graphics
20232,messenger rna
20288,microsoft office
20324,motorola 68040
20377,microorganism
20474,mohs scale
20505,magnetic tape
20553,macrolide
20560,macro (computer science)
20668,mac address
20810,merchant
20853,malt
20926,supervised learning
20935,microsoft access
20947,adobe flash
20953,monoamine oxidase
